instance value
OR10x100-0.25_10.dat 22702
OR10x100-0.25_1.dat 23064
OR10x100-0.25_2.dat 22801
OR10x100-0.25_3.dat 22131
OR10x100-0.25_4.dat 22772
OR10x100-0.25_5.dat 22751
OR10x100-0.25_6.dat 22777
OR10x100-0.25_7.dat 21875
OR10x100-0.25_8.dat 22635
OR10x100-0.25_9.dat 22511
OR10x100-0.50_10.dat 41207
OR10x100-0.50_1.dat 41395
OR10x100-0.50_2.dat 42344
OR10x100-0.50_3.dat 42401
OR10x100-0.50_4.dat 45624
OR10x100-0.50_5.dat 41884
OR10x100-0.50_6.dat 42995
OR10x100-0.50_7.dat 43574
OR10x100-0.50_8.dat 42970
OR10x100-0.50_9.dat 42212
OR10x100-0.75_10.dat 60633
OR10x100-0.75_1.dat 57375
OR10x100-0.75_2.dat 58978
OR10x100-0.75_3.dat 58391
OR10x100-0.75_4.dat 61966
OR10x100-0.75_5.dat 60803
OR10x100-0.75_6.dat 61437
OR10x100-0.75_7.dat 56377
OR10x100-0.75_8.dat 59391
OR10x100-0.75_9.dat 60205
OR10x250-0.25_10.dat 59193
OR10x250-0.25_1.dat 59182
OR10x250-0.25_2.dat 58685
OR10x250-0.25_3.dat 58086
OR10x250-0.25_4.dat 60989
OR10x250-0.25_5.dat 58092
OR10x250-0.25_6.dat 58803
OR10x250-0.25_7.dat 58620
OR10x250-0.25_8.dat 58916
OR10x250-0.25_9.dat 59387
OR10x250-0.50_10.dat 106722
OR10x250-0.50_1.dat 110913
OR10x250-0.50_2.dat 108702
OR10x250-0.50_3.dat 108932
OR10x250-0.50_4.dat 110081
OR10x250-0.50_5.dat 108485
OR10x250-0.50_6.dat 110841
OR10x250-0.50_7.dat 106075
OR10x250-0.50_8.dat 106686
OR10x250-0.50_9.dat 109825
OR10x250-0.75_10.dat 149704
OR10x250-0.75_1.dat 151809
OR10x250-0.75_2.dat 148772
OR10x250-0.75_3.dat 151909
OR10x250-0.75_4.dat 151324
OR10x250-0.75_5.dat 151948
OR10x250-0.75_6.dat 152109
OR10x250-0.75_7.dat 153131
OR10x250-0.75_8.dat 153578
OR10x250-0.75_9.dat 149155
