instance value
OR10x100-0.25_10.dat 22698
OR10x100-0.25_1.dat 23017
OR10x100-0.25_2.dat 22650
OR10x100-0.25_3.dat 21966
OR10x100-0.25_4.dat 22772
OR10x100-0.25_5.dat 22457
OR10x100-0.25_6.dat 22499
OR10x100-0.25_7.dat 21690
OR10x100-0.25_8.dat 22551
OR10x100-0.25_9.dat 22353
OR10x100-0.50_10.dat 41118
OR10x100-0.50_1.dat 41168
OR10x100-0.50_2.dat 42265
OR10x100-0.50_3.dat 42299
OR10x100-0.50_4.dat 45511
OR10x100-0.50_5.dat 41869
OR10x100-0.50_6.dat 42799
OR10x100-0.50_7.dat 43492
OR10x100-0.50_8.dat 42873
OR10x100-0.50_9.dat 42099
OR10x100-0.75_10.dat 60567
OR10x100-0.75_1.dat 57353
OR10x100-0.75_2.dat 58885
OR10x100-0.75_3.dat 58274
OR10x100-0.75_4.dat 61912
OR10x100-0.75_5.dat 60796
OR10x100-0.75_6.dat 61193
OR10x100-0.75_7.dat 56278
OR10x100-0.75_8.dat 59298
OR10x100-0.75_9.dat 60205
OR10x250-0.25_10.dat 58903
OR10x250-0.25_1.dat 58806
OR10x250-0.25_2.dat 58581
OR10x250-0.25_3.dat 57995
OR10x250-0.25_4.dat 60741
OR10x250-0.25_5.dat 57563
OR10x250-0.25_6.dat 58459
OR10x250-0.25_7.dat 58458
OR10x250-0.25_8.dat 58666
OR10x250-0.25_9.dat 59244
OR10x250-0.50_10.dat 106378
OR10x250-0.50_1.dat 110419
OR10x250-0.50_2.dat 108279
OR10x250-0.50_3.dat 108703
OR10x250-0.50_4.dat 109832
OR10x250-0.50_5.dat 108199
OR10x250-0.50_6.dat 110443
OR10x250-0.50_7.dat 105773
OR10x250-0.50_8.dat 106223
OR10x250-0.50_9.dat 109255
OR10x250-0.75_10.dat 149383
OR10x250-0.75_1.dat 151623
OR10x250-0.75_2.dat 148448
OR10x250-0.75_3.dat 151394
OR10x250-0.75_4.dat 150657
OR10x250-0.75_5.dat 151672
OR10x250-0.75_6.dat 151701
OR10x250-0.75_7.dat 152882
OR10x250-0.75_8.dat 153280
OR10x250-0.75_9.dat 148905
