instance SA2_new
OR10x100-0.25_10.dat 22569
OR10x100-0.25_1.dat 22868
OR10x100-0.25_2.dat 22753
OR10x100-0.25_3.dat 22021
OR10x100-0.25_4.dat 22772
OR10x100-0.25_5.dat 22457
OR10x100-0.25_6.dat 22570
OR10x100-0.25_7.dat 21875
OR10x100-0.25_8.dat 22235
OR10x100-0.25_9.dat 22289
OR10x100-0.50_10.dat 41118
OR10x100-0.50_1.dat 41234
OR10x100-0.50_2.dat 42151
OR10x100-0.50_3.dat 42283
OR10x100-0.50_4.dat 45472
OR10x100-0.50_5.dat 41869
OR10x100-0.50_6.dat 42861
OR10x100-0.50_7.dat 43345
OR10x100-0.50_8.dat 42895
OR10x100-0.50_9.dat 42189
OR10x100-0.75_10.dat 60488
OR10x100-0.75_1.dat 57213
OR10x100-0.75_2.dat 58808
OR10x100-0.75_3.dat 58370
OR10x100-0.75_4.dat 61966
OR10x100-0.75_5.dat 60796
OR10x100-0.75_6.dat 61282
OR10x100-0.75_7.dat 56323
OR10x100-0.75_8.dat 59391
OR10x100-0.75_9.dat 60205
OR10x250-0.25_10.dat 58962
OR10x250-0.25_1.dat 58941
OR10x250-0.25_2.dat 58580
OR10x250-0.25_3.dat 57762
OR10x250-0.25_4.dat 60696
OR10x250-0.25_5.dat 57555
OR10x250-0.25_6.dat 58537
OR10x250-0.25_7.dat 58343
OR10x250-0.25_8.dat 58626
OR10x250-0.25_9.dat 59242
OR10x250-0.50_10.dat 106378
OR10x250-0.50_1.dat 110573
OR10x250-0.50_2.dat 108247
OR10x250-0.50_3.dat 108555
OR10x250-0.50_4.dat 109766
OR10x250-0.50_5.dat 108232
OR10x250-0.50_6.dat 110439
OR10x250-0.50_7.dat 105739
OR10x250-0.50_8.dat 106327
OR10x250-0.50_9.dat 109285
OR10x250-0.75_10.dat 149263
OR10x250-0.75_1.dat 151390
OR10x250-0.75_2.dat 148440
OR10x250-0.75_3.dat 151388
OR10x250-0.75_4.dat 150911
OR10x250-0.75_5.dat 151622
OR10x250-0.75_6.dat 151729
OR10x250-0.75_7.dat 152950
OR10x250-0.75_8.dat 153254
OR10x250-0.75_9.dat 148772
