instance value
OR10x100-0.25_10.dat 22569
OR10x100-0.25_1.dat 22868
OR10x100-0.25_2.dat 22670
OR10x100-0.25_3.dat 21850
OR10x100-0.25_4.dat 22600
OR10x100-0.25_5.dat 22530
OR10x100-0.25_6.dat 22620
OR10x100-0.25_7.dat 21690
OR10x100-0.25_8.dat 22551
OR10x100-0.25_9.dat 22370
OR10x100-0.50_10.dat 40930
OR10x100-0.50_1.dat 41275
OR10x100-0.50_2.dat 42187
OR10x100-0.50_3.dat 42227
OR10x100-0.50_4.dat 45558
OR10x100-0.50_5.dat 41680
OR10x100-0.50_6.dat 42813
OR10x100-0.50_7.dat 43492
OR10x100-0.50_8.dat 42838
OR10x100-0.50_9.dat 42153
OR10x100-0.75_10.dat 60546
OR10x100-0.75_1.dat 57353
OR10x100-0.75_2.dat 58767
OR10x100-0.75_3.dat 58264
OR10x100-0.75_4.dat 61912
OR10x100-0.75_5.dat 60797
OR10x100-0.75_6.dat 61248
OR10x100-0.75_7.dat 56304
OR10x100-0.75_8.dat 59283
OR10x100-0.75_9.dat 60130
OR10x250-0.25_10.dat 58754
OR10x250-0.25_1.dat 58936
OR10x250-0.25_2.dat 58491
OR10x250-0.25_3.dat 57786
OR10x250-0.25_4.dat 60755
OR10x250-0.25_5.dat 57630
OR10x250-0.25_6.dat 58386
OR10x250-0.25_7.dat 58369
OR10x250-0.25_8.dat 58638
OR10x250-0.25_9.dat 59287
OR10x250-0.50_10.dat 106388
OR10x250-0.50_1.dat 110347
OR10x250-0.50_2.dat 108099
OR10x250-0.50_3.dat 108766
OR10x250-0.50_4.dat 109717
OR10x250-0.50_5.dat 108163
OR10x250-0.50_6.dat 110538
OR10x250-0.50_7.dat 105886
OR10x250-0.50_8.dat 106185
OR10x250-0.50_9.dat 109622
OR10x250-0.75_10.dat 149316
OR10x250-0.75_1.dat 151403
OR10x250-0.75_2.dat 148509
OR10x250-0.75_3.dat 151536
OR10x250-0.75_4.dat 150797
OR10x250-0.75_5.dat 151631
OR10x250-0.75_6.dat 151798
OR10x250-0.75_7.dat 152824
OR10x250-0.75_8.dat 153292
OR10x250-0.75_9.dat 148918
