instance rs rt gs gt ts tt frs frt fgs fgt fts ftt brs brt bgs bgt bts btt vrs vrt vgs vgt vts vtt
OR10x100-0.25_10.dat 16565 0.015 18258 0.015 22039 0.199 21553 0.928 20068 0.133 22372 0.646 20703 1.204 19859 0.189 22429 0.708 21842 12.857 21658 6.918 22479 51.671
OR10x100-0.25_1.dat 15894 0.012 19805 0.015 21958 0.12 19793 0.334 21113 0.092 22670 0.362 20640 1.644 21179 0.1 22633 0.644 22369 17.29 21889 4.349 23043 30.766
OR10x100-0.25_2.dat 15606 0.039 17352 0.013 21406 0.122 21497 0.558 21083 0.144 22020 0.542 21312 1.038 20784 0.223 22678 0.696 22272 19.991 21120 4.297 22622 34.866
OR10x100-0.25_3.dat 16832 0.018 17288 0.015 20444 0.114 19648 0.249 19759 0.126 21577 0.47 19214 0.429 19268 0.136 21787 0.882 21205 14.473 21627 7.693 21966 50.422
OR10x100-0.25_4.dat 19242 0.013 20573 0.016 20732 0.119 21591 0.491 21294 0.067 21985 0.362 21441 0.876 21304 0.101 21934 0.873 21730 12.179 21895 5.334 22606 46.195
OR10x100-0.25_5.dat 17663 0.015 20145 0.015 20867 0.123 19540 0.212 21118 0.14 22175 0.337 20624 0.616 20806 0.101 22147 0.8 21901 16.552 22143 5.205 22518 59.961
OR10x100-0.25_6.dat 17133 0.015 19390 0.013 22001 0.131 21764 0.52 21610 0.106 22517 0.528 19531 0.473 20973 0.128 22381 0.884 21764 8.716 22106 6.816 22539 30.178
OR10x100-0.25_7.dat 14870 0.013 18670 0.013 20477 0.125 20334 0.559 20515 0.139 21553 0.4 18699 1.124 21151 0.301 21360 0.502 21398 30.683 21341 8.768 21624 32.563
OR10x100-0.25_8.dat 16341 0.013 19758 0.015 21260 0.12 19528 0.363 21302 0.126 22045 0.435 21533 1.787 21691 0.234 21912 0.492 22000 19.169 21681 4.901 22269 36.007
OR10x100-0.25_9.dat 15074 0.012 19341 0.015 21194 0.134 20874 0.512 19837 0.064 22082 0.8 20177 0.683 21134 0.198 22124 1.389 21533 15.922 21400 5.31 22253 58.665
OR10x100-0.50_10.dat 34291 0.013 37687 0.014 40031 0.244 39264 0.729 39533 0.111 40361 0.686 38754 2.335 40145 0.872 40678 1.143 40674 112.86 40285 52.394 40958 186.125
OR10x100-0.50_1.dat 33578 0.014 38179 0.014 40261 0.238 38606 0.705 39955 0.203 40817 0.666 39391 2.596 39643 0.374 40904 1.085 40883 80.349 40896 57.518 41262 344.186
OR10x100-0.50_2.dat 34900 0.018 39644 0.015 41169 0.208 41159 1.085 41335 0.196 41874 0.75 40198 2.477 41394 0.31 42015 1.168 41979 148.129 41964 37.258 42175 352.965
OR10x100-0.50_3.dat 33344 0.014 38309 0.014 41639 0.202 39785 0.625 40368 0.19 41832 0.59 40132 2.742 40209 0.31 41976 0.796 41541 154.448 42166 47.918 42174 327.637
OR10x100-0.50_4.dat 36590 0.037 41563 0.015 43705 0.209 43814 0.911 42138 0.109 45112 1.099 42680 1.849 42740 0.233 45441 1.786 45296 101.451 44584 113.161 45380 349.274
OR10x100-0.50_5.dat 35245 0.017 37936 0.014 40878 0.207 39217 0.499 40923 0.188 41242 0.608 39600 2.348 40684 0.367 41696 1.08 41391 169.062 41727 77.88 41577 178.709
OR10x100-0.50_6.dat 33416 0.014 38580 0.013 41833 0.222 41848 1.324 40744 0.151 42204 0.736 40917 2.876 41827 0.699 42390 1.081 42435 83.803 42826 52.642 42713 292.349
OR10x100-0.50_7.dat 36956 0.016 40609 0.015 42901 0.217 42537 1.159 42420 0.292 43114 0.908 41745 2.682 42237 0.308 43114 1.06 42957 75.697 42958 51.064 43455 223.599
OR10x100-0.50_8.dat 35491 0.014 40900 0.014 41532 0.235 40200 0.629 41900 0.161 42545 0.863 42172 4.088 41876 0.245 42684 1.507 42193 115.199 42674 69.355 42777 285.809
OR10x100-0.50_9.dat 36290 0.013 38294 0.043 41593 0.206 38742 0.579 40832 0.287 41875 0.524 39969 2.629 40620 0.384 41875 0.808 41598 98.553 41972 103.779 42103 359.492
OR10x100-0.75_10.dat 53907 0.013 58713 0.014 59251 0.292 59823 0.939 60174 0.265 60261 0.801 59293 2.767 60394 0.418 60401 1.197 60507 348.151 60626 100.15 60527 621.079
OR10x100-0.75_1.dat 52197 0.014 54661 0.015 56302 0.295 55053 0.552 56447 0.136 57001 1.061 55205 1.568 56578 0.297 57184 1.901 57106 332.569 57020 99.146 57146 618.7
OR10x100-0.75_2.dat 54506 0.016 55811 0.014 57540 0.268 57800 0.831 58090 0.243 58141 0.779 56636 1.769 57539 0.383 58626 1.508 58675 386.13 58680 212.549 58891 723.463
OR10x100-0.75_3.dat 52356 0.016 55822 0.018 57222 0.29 56293 1.056 57677 0.409 58121 1.598 56946 3.114 57439 0.755 58174 2.3 58239 286.785 58175 132.981 58294 1563.47
OR10x100-0.75_4.dat 57020 0.018 59702 0.015 59236 0.356 60113 0.681 61219 0.219 61303 0.99 59519 1.947 61193 0.304 61754 2.191 61757 473.298 61540 184.004 61814 545.566
OR10x100-0.75_5.dat 54625 0.014 58750 0.014 60210 0.287 59651 1.341 60164 0.216 60649 1.268 59210 2.518 60009 0.289 60556 1.476 60531 300.557 60757 92.055 60771 495.821
OR10x100-0.75_6.dat 57120 0.014 58631 0.015 60572 0.306 60366 0.783 59992 0.168 61038 0.829 59883 1.83 59979 0.487 61057 1.875 61200 252.647 61336 145.734 61194 1290.18
OR10x100-0.75_7.dat 50659 0.015 53767 0.017 55471 0.29 54380 0.71 54965 0.174 56314 1.541 53775 1.178 55690 0.418 56097 1.135 55885 237.362 55993 109.704 56314 484.802
OR10x100-0.75_8.dat 53259 0.014 55820 0.017 58525 0.283 57024 0.646 58824 0.356 59272 1.332 57688 3.43 58397 0.485 59186 2.086 58686 203.721 59257 140.38 59272 506.213
OR10x100-0.75_9.dat 54838 0.014 57477 0.014 58993 0.257 58986 0.731 59293 0.231 59893 1.289 59383 2.973 59588 0.496 59945 2.45 59902 212.219 60071 99.289 60064 637.524
OR10x250-0.25_10.dat 44779 0.019 50446 0.023 57780 0.855 56839 5.078 54813 1.02 58327 3.225 55534 15.024 54624 1.443 58819 5.882 57372 453.256 57135 201.951 58870 2703.9
OR10x250-0.25_1.dat 45799 0.019 50750 0.027 57077 0.817 55433 3.858 54405 0.704 58083 4.106 57042 22.242 53481 1.384 57972 4.691 58087 422.13 56543 184.07 58793 2919.62
OR10x250-0.25_2.dat 45314 0.018 52233 0.023 57041 0.813 55022 4.188 54353 1.145 58293 2.82 52693 10.843 54541 2.415 58399 4.763 57370 1049.97 56691 294.47 58405 1542.13
OR10x250-0.25_3.dat 41268 0.017 48185 0.024 55631 0.774 52533 2.686 53349 0.693 57213 2.951 53721 17.197 52947 1.163 57422 11.78 56868 1106.25 57120 257.433 57661 1651.17
OR10x250-0.25_4.dat 44706 0.018 53818 0.022 59634 0.819 55463 2.11 55659 0.462 60810 2.909 56412 14.317 56256 1.686 60810 7.733 60184 1091.95 59000 367.813 60810 1377.25
OR10x250-0.25_5.dat 46590 0.017 50299 0.023 54419 0.759 52878 2.13 52804 0.394 57030 3.108 52431 7.644 54817 1.86 56926 9.679 57113 1353.52 56635 447.071 57481 1307.24
