OR10x250-0.25_1.dat OR10x250-0.25_2.dat OR10x250-0.25_3.dat OR10x250-0.25_4.dat OR10x250-0.25_5.dat 
59182 58685 58086 60989 58092 
59187 58685 58094 60941 58092 
59187 58685 58086 60937 58092 
59187 58685 58086 60972 58060 
59164 58708 58086 60989 58092 
59187 58693 58086 60989 58092 
59187 58693 58086 61000 58092 
59187 58685 58086 60937 58092 
59187 58705 58086 60989 58034 
59187 58713 58086 60941 58092 
59187 58685 58094 60937 58092 
59187 58662 58086 60989 58092 
59187 58676 58086 60989 58092 
59187 58693 58086 60937 58092 
59187 58693 58094 60989 58092 
59187 58685 58086 60989 58092 
59187 58685 58086 60989 58092 
59187 58672 58086 60937 58092 
59187 58685 58086 60989 58092 
59187 58685 58086 60989 58092 
59187 58693 58086 60989 58060 
59187 58685 58086 60972 58092 
59187 58685 58086 60977 58092 
59187 58662 58097 60989 58092 
59187 58685 58086 60989 58092 
