OR10x250-0.25_1.dat OR10x250-0.25_2.dat OR10x250-0.25_3.dat OR10x250-0.25_4.dat OR10x250-0.25_5.dat 
56492 56789 55365 57610 55398 
56684 56404 55779 58058 55262 
55956 55771 56253 58495 55758 
56151 56128 54541 58673 55227 
56319 56048 55036 58230 54832 
54909 56392 56289 58042 54616 
56565 56408 55964 58179 54485 
57449 56095 55952 57738 55525 
56477 56300 55847 57888 55653 
55818 55020 55447 59131 55280 
55727 55715 56159 57765 53583 
54705 56829 56097 58177 55197 
55201 56012 55144 58870 55313 
56223 56287 55593 58072 55711 
56258 55388 55416 57238 55256 
56459 56134 55447 58711 55774 
55963 56527 54622 58964 55846 
56525 56773 54740 58504 55884 
56900 54806 55195 59150 55088 
55891 54445 55033 57644 54552 
55919 55537 56850 58532 54856 
55849 55991 55570 57232 54532 
56519 57256 54449 58633 54440 
56095 56037 55689 57495 55015 
56534 55302 54882 57317 55145 
